county,engagement,environment,health,housing,neighborhood,opportunity,transportation
Marion+County+Florida,Marion+County+Florida,52,61,34,47,37,33,46
Martin+County+Florida,Martin+County+Florida,63,37,62,43,42,22,43
Miami-Dade+County+Florida,Miami-Dade+County+Florida,,,,,,,
Monroe+County+Florida,Monroe+County+Florida,82,52,70,49,35,26,46
Nassau+County+Florida,Nassau+County+Florida,70,48,47,40,37,57,39
Okaloosa+County+Florida,Okaloosa+County+Florida,75,55,46,45,40,57,46
Okeechobee+County+Florida,Okeechobee+County+Florida,36,39,22,45,30,25,41
Orange+County+Florida,Orange+County+Florida,58,51,51,38,43,47,36
Osceola+County+Florida,Osceola+County+Florida,50,41,31,36,39,64,42
Palm+Beach+County+Florida,Palm+Beach+County+Florida,53,55,58,27,46,30,40
Pasco+County+Florida,Pasco+County+Florida,58,60,37,29,42,27,34
Pinellas+County+Florida,Pinellas+County+Florida,63,61,55,36,52,37,57
Polk+County+Florida,Polk+County+Florida,55,60,31,47,40,40,43
Putnam+County+Florida,Putnam+County+Florida,49,61,23,59,27,24,43
St.+Johns+County+Florida,St.+Johns+County+Florida,79,41,53,33,41,49,44
St.+Lucie+County+Florida,St.+Lucie+County+Florida,43,57,39,45,41,29,53
Santa+Rosa+County+Florida,Santa+Rosa+County+Florida,64,48,44,37,42,42,40
Sarasota+County+Florida,Sarasota+County+Florida,70,66,60,49,45,27,56
Seminole+County+Florida,Seminole+County+Florida,58,59,56,30,47,56,40
Sumter+County+Florida,Sumter+County+Florida,55,57,29,46,40,43,46
Suwannee+County+Florida,Suwannee+County+Florida,55,56,16,56,29,28,35
Taylor+County+Florida,Taylor+County+Florida,42,36,26,55,30,40,45
Union+County+Florida,Union+County+Florida,26,60,9,52,34,51,38
Volusia+County+Florida,Volusia+County+Florida,54,49,39,49,40,29,42
Wakulla+County+Florida,Wakulla+County+Florida,52,76,33,39,33,63,43
Walton+County+Florida,Walton+County+Florida,58,32,38,42,30,39,38
Washington+County+Florida,Washington+County+Florida,46,35,7,50,30,45,37
Appling+County+Georgia,Appling+County+Georgia,55,59,14,60,31,37,38
Atkinson+County+Georgia,Atkinson+County+Georgia,31,55,10,63,28,24,36
Bacon+County+Georgia,Bacon+County+Georgia,32,60,24,69,32,41,38
Baker+County+Georgia,Baker+County+Georgia,34,60,14,46,32,0,42
Baldwin+County+Georgia,Baldwin+County+Georgia,42,60,30,56,32,28,47
Banks+County+Georgia,Banks+County+Georgia,45,58,31,39,30,36,33
Barrow+County+Georgia,Barrow+County+Georgia,37,49,37,31,38,59,37
Bartow+County+Georgia,Bartow+County+Georgia,46,45,31,51,35,52,31
Ben+Hill+County+Georgia,Ben+Hill+County+Georgia,26,60,13,64,39,39,53
Berrien+County+Georgia,Berrien+County+Georgia,30,60,10,54,30,26,43
Bibb+County+Georgia,Bibb+County+Georgia,60,63,39,64,37,34,37
Bleckley+County+Georgia,Bleckley+County+Georgia,38,36,17,58,31,17,46
Brantley+County+Georgia,Brantley+County+Georgia,27,60,23,49,28,25,33
Brooks+County+Georgia,Brooks+County+Georgia,40,48,26,58,27,14,36
Bryan+County+Georgia,Bryan+County+Georgia,54,27,54,45,36,62,47
Bulloch+County+Georgia,Bulloch+County+Georgia,34,55,29,56,33,25,44
Burke+County+Georgia,Burke+County+Georgia,36,60,33,67,24,39,33
Butts+County+Georgia,Butts+County+Georgia,31,59,12,39,34,54,37
Calhoun+County+Georgia,Calhoun+County+Georgia,35,60,13,63,29,0,48
Camden+County+Georgia,Camden+County+Georgia,51,57,29,54,36,42,47
Candler+County+Georgia,Candler+County+Georgia,31,60,5,58,29,32,33
Carroll+County+Georgia,Carroll+County+Georgia,39,30,48,41,35,48,39
Catoosa+County+Georgia,Catoosa+County+Georgia,54,42,39,43,40,64,47
Charlton+County+Georgia,Charlton+County+Georgia,18,80,17,56,32,30,41
Chatham+County+Georgia,Chatham+County+Georgia,59,52,49,54,42,34,61
Chattahoochee+County+Georgia,Chattahoochee+County+Georgia,14,59,34,34,46,56,59
Chattooga+County+Georgia,Chattooga+County+Georgia,42,62,23,62,38,37,45
Cherokee+County+Georgia,Cherokee+County+Georgia,44,38,55,41,48,60,42
Clarke+County+Georgia,Clarke+County+Georgia,48,53,51,62,41,21,61
Clay+County+Georgia,Clay+County+Georgia,40,61,20,66,38,32,40
Clayton+County+Georgia,Clayton+County+Georgia,31,73,36,31,42,42,38
Clinch+County+Georgia,Clinch+County+Georgia,41,59,16,71,30,51,43
Cobb+County+Georgia,Cobb+County+Georgia,48,58,64,35,51,46,41
Coffee+County+Georgia,Coffee+County+Georgia,39,78,24,60,30,44,44
Colquitt+County+Georgia,Colquitt+County+Georgia,52,60,24,57,33,41,42
Columbia+County+Georgia,Columbia+County+Georgia,59,68,57,33,43,35,45
Cook+County+Georgia,Cook+County+Georgia,32,55,19,43,34,30,41
Coweta+County+Georgia,Coweta+County+Georgia,52,59,37,44,41,59,40
Crawford+County+Georgia,Crawford+County+Georgia,31,60,21,51,26,47,41
Crisp+County+Georgia,Crisp+County+Georgia,42,57,19,70,30,30,41
Dade+County+Georgia,Dade+County+Georgia,53,54,39,41,36,56,41
Dawson+County+Georgia,Dawson+County+Georgia,58,35,52,35,36,47,38
Decatur+County+Georgia,Decatur+County+Georgia,36,48,27,63,32,32,40
DeKalb+County+Georgia,DeKalb+County+Georgia,43,49,58,51,54,39,55
Dodge+County+Georgia,Dodge+County+Georgia,44,60,26,55,27,37,44
Dooly+County+Georgia,Dooly+County+Georgia,42,43,18,61,30,20,35
Dougherty+County+Georgia,Dougherty+County+Georgia,54,65,27,64,36,38,63
Douglas+County+Georgia,Douglas+County+Georgia,40,64,45,44,43,54,34
Early+County+Georgia,Early+County+Georgia,49,58,7,64,25,50,34
Echols+County+Georgia,Echols+County+Georgia,19,46,21,43,27,16,43
Effingham+County+Georgia,Effingham+County+Georgia,47,50,41,37,37,67,57
Elbert+County+Georgia,Elbert+County+Georgia,40,60,27,63,26,42,39
Emanuel+County+Georgia,Emanuel+County+Georgia,29,61,20,62,32,33,43
Evans+County+Georgia,Evans+County+Georgia,38,29,23,52,36,49,38
Fannin+County+Georgia,Fannin+County+Georgia,70,60,37,57,34,34,42
Fayette+County+Georgia,Fayette+County+Georgia,69,15,60,30,47,60,39
Floyd+County+Georgia,Floyd+County+Georgia,50,62,44,56,35,44,33
Forsyth+County+Georgia,Forsyth+County+Georgia,46,54,62,30,47,62,41
Franklin+County+Georgia,Franklin+County+Georgia,40,55,36,62,32,48,36
Fulton+County+Georgia,Fulton+County+Georgia,60,18,65,59,51,23,51
Gilmer+County+Georgia,Gilmer+County+Georgia,45,60,38,49,32,38,38
Glascock+County+Georgia,Glascock+County+Georgia,34,36,25,59,31,41,40
Glynn+County+Georgia,Glynn+County+Georgia,56,65,35,55,33,45,42
Gordon+County+Georgia,Gordon+County+Georgia,41,52,34,51,35,49,40
Grady+County+Georgia,Grady+County+Georgia,65,60,34,54,35,29,44
Greene+County+Georgia,Greene+County+Georgia,68,38,22,50,30,14,34
Gwinnett+County+Georgia,Gwinnett+County+Georgia,42,62,60,28,49,50,42
Habersham+County+Georgia,Habersham+County+Georgia,47,46,41,52,38,48,41
Hall+County+Georgia,Hall+County+Georgia,50,73,55,46,42,44,43
Hancock+County+Georgia,Hancock+County+Georgia,22,32,18,54,26,34,43
Haralson+County+Georgia,Haralson+County+Georgia,45,58,31,53,31,45,35
Harris+County+Georgia,Harris+County+Georgia,62,52,42,30,35,56,50
Hart+County+Georgia,Hart+County+Georgia,37,47,40,54,30,32,42
Heard+County+Georgia,Heard+County+Georgia,32,57,23,56,31,58,31
Henry+County+Georgia,Henry+County+Georgia,47,60,47,35,42,60,35
Houston+County+Georgia,Houston+County+Georgia,50,47,35,50,40,44,44
Irwin+County+Georgia,Irwin+County+Georgia,31,61,29,63,27,23,37
Jackson+County+Georgia,Jackson+County+Georgia,35,55,40,40,38,49,40
Jasper+County+Georgia,Jasper+County+Georgia,30,59,27,43,30,58,36
Jeff+Davis+County+Georgia,Jeff+Davis+County+Georgia,36,52,3,61,28,48,39
Jefferson+County+Georgia,Jefferson+County+Georgia,43,60,30,56,35,39,42
Jenkins+County+Georgia,Jenkins+County+Georgia,58,60,29,57,28,6,36
Johnson+County+Georgia,Johnson+County+Georgia,38,60,19,60,29,21,52
Jones+County+Georgia,Jones+County+Georgia,44,56,33,39,36,62,32
Lamar+County+Georgia,Lamar+County+Georgia,49,58,33,49,33,52,35
Lanier+County+Georgia,Lanier+County+Georgia,26,61,23,54,36,15,41
Laurens+County+Georgia,Laurens+County+Georgia,58,59,36,63,29,43,44
Lee+County+Georgia,Lee+County+Georgia,36,60,29,38,37,25,58
Liberty+County+Georgia,Liberty+County+Georgia,34,50,23,49,35,24,59
Lincoln+County+Georgia,Lincoln+County+Georgia,76,60,34,45,32,24,46
Long+County+Georgia,Long+County+Georgia,20,47,29,48,24,42,53
Lowndes+County+Georgia,Lowndes+County+Georgia,45,29,46,52,38,40,44
Lumpkin+County+Georgia,Lumpkin+County+Georgia,32,60,33,40,36,40,39
McDuffie+County+Georgia,McDuffie+County+Georgia,55,55,32,60,33,43,35
McIntosh+County+Georgia,McIntosh+County+Georgia,36,56,33,52,24,21,36
Macon+County+Georgia,Macon+County+Georgia,32,56,22,66,34,28,40
Madison+County+Georgia,Madison+County+Georgia,38,60,25,44,30,63,53
Marion+County+Georgia,Marion+County+Georgia,28,60,36,62,31,52,36
Meriwether+County+Georgia,Meriwether+County+Georgia,36,28,19,54,29,49,36
Miller+County+Georgia,Miller+County+Georgia,79,60,5,60,30,37,30
Mitchell+County+Georgia,Mitchell+County+Georgia,45,58,22,65,30,46,40
Monroe+County+Georgia,Monroe+County+Georgia,41,49,16,47,33,64,26
Montgomery+County+Georgia,Montgomery+County+Georgia,36,60,23,59,33,23,38
Morgan+County+Georgia,Morgan+County+Georgia,82,49,36,43,32,54,29
Murray+County+Georgia,Murray+County+Georgia,19,72,31,50,35,57,41
Muscogee+County+Georgia,Muscogee+County+Georgia,66,62,46,55,38,36,62
Newton+County+Georgia,Newton+County+Georgia,39,57,42,33,38,54,33
Oconee+County+Georgia,Oconee+County+Georgia,68,57,52,24,39,68,53
Oglethorpe+County+Georgia,Oglethorpe+County+Georgia,53,49,29,46,25,62,48
Paulding+County+Georgia,Paulding+County+Georgia,32,66,48,40,42,62,36
Peach+County+Georgia,Peach+County+Georgia,34,55,27,62,31,32,37
Pickens+County+Georgia,Pickens+County+Georgia,39,60,47,56,37,51,35
Pierce+County+Georgia,Pierce+County+Georgia,35,49,27,54,32,38,38
Pike+County+Georgia,Pike+County+Georgia,43,71,29,39,35,69,33
Polk+County+Georgia,Polk+County+Georgia,33,28,31,55,36,32,44
Pulaski+County+Georgia,Pulaski+County+Georgia,31,60,36,57,34,36,37
Putnam+County+Georgia,Putnam+County+Georgia,56,49,17,53,30,18,37
Quitman+County+Georgia,Quitman+County+Georgia,43,61,22,39,25,39,44
Rabun+County+Georgia,Rabun+County+Georgia,78,60,43,53,37,41,44
Randolph+County+Georgia,Randolph+County+Georgia,37,60,6,72,32,25,36
Richmond+County+Georgia,Richmond+County+Georgia,64,63,41,61,36,47,44
Rockdale+County+Georgia,Rockdale+County+Georgia,42,47,47,33,41,55,35
Schley+County+Georgia,Schley+County+Georgia,65,60,32,56,32,30,31
Screven+County+Georgia,Screven+County+Georgia,37,59,21,57,26,34,37
Seminole+County+Georgia,Seminole+County+Georgia,44,61,35,49,32,29,37
Spalding+County+Georgia,Spalding+County+Georgia,41,56,33,57,35,42,37
Stephens+County+Georgia,Stephens+County+Georgia,52,56,43,59,33,49,45
Stewart+County+Georgia,Stewart+County+Georgia,55,38,20,57,34,28,38
Sumter+County+Georgia,Sumter+County+Georgia,52,78,36,67,31,32,48
Talbot+County+Georgia,Talbot+County+Georgia,40,60,30,47,28,2,32
Taliaferro+County+Georgia,Taliaferro+County+Georgia,48,58,5,59,17,30,31
Tattnall+County+Georgia,Tattnall+County+Georgia,25,37,17,55,34,33,44
Taylor+County+Georgia,Taylor+County+Georgia,42,60,26,65,30,11,49
Telfair+County+Georgia,Telfair+County+Georgia,26,61,11,62,35,49,49
Terrell+County+Georgia,Terrell+County+Georgia,44,60,11,65,33,33,48
Thomas+County+Georgia,Thomas+County+Georgia,67,52,46,58,34,46,47
Tift+County+Georgia,Tift+County+Georgia,45,47,41,62,34,47,43
Toombs+County+Georgia,Toombs+County+Georgia,52,51,32,63,30,42,43
Towns+County+Georgia,Towns+County+Georgia,77,60,32,53,34,44,42
Treutlen+County+Georgia,Treutlen+County+Georgia,42,61,31,65,29,15,35
Troup+County+Georgia,Troup+County+Georgia,68,56,32,55,35,53,42
Turner+County+Georgia,Turner+County+Georgia,42,55,17,65,31,27,38
Twiggs+County+Georgia,Twiggs+County+Georgia,58,60,16,44,29,37,28
Union+County+Georgia,Union+County+Georgia,64,60,64,54,36,42,42
Upson+County+Georgia,Upson+County+Georgia,53,60,31,60,32,39,45
Walker+County+Georgia,Walker+County+Georgia,39,78,27,48,37,49,49
Walton+County+Georgia,Walton+County+Georgia,44,30,40,33,40,55,39
Ware+County+Georgia,Ware+County+Georgia,57,60,25,62,32,51,47
Warren+County+Georgia,Warren+County+Georgia,44,59,23,60,33,23,35
Washington+County+Georgia,Washington+County+Georgia,39,78,17,63,28,40,40
Wayne+County+Georgia,Wayne+County+Georgia,38,50,32,59,27,36,43
Webster+County+Georgia,Webster+County+Georgia,39,60,13,63,32,24,34
Wheeler+County+Georgia,Wheeler+County+Georgia,16,60,24,66,31,59,45
White+County+Georgia,White+County+Georgia,34,60,53,41,32,45,44
Whitfield+County+Georgia,Whitfield+County+Georgia,48,53,38,47,40,54,41
Wilcox+County+Georgia,Wilcox+County+Georgia,26,60,26,57,33,21,35
Wilkes+County+Georgia,Wilkes+County+Georgia,42,60,4,62,31,41,37
Wilkinson+County+Georgia,Wilkinson+County+Georgia,44,55,15,54,30,54,36
Worth+County+Georgia,Worth+County+Georgia,32,60,19,57,32,21,39
Hawaii+County+Hawaii,Hawaii+County+Hawaii,49,22,53,47,32,38,44
Honolulu+County+Hawaii,Honolulu+County+Hawaii,42,53,76,32,59,56,66
Kalawao+County+Hawaii,Kalawao+County+Hawaii,0,46,71,57,28,38,67
Kauai+County+Hawaii,Kauai+County+Hawaii,62,73,64,42,37,53,43
Maui+County+Hawaii,Maui+County+Hawaii,50,60,59,45,37,49,46
Ada+County+Idaho,Ada+County+Idaho,59,58,61,42,51,68,54
Adams+County+Idaho,Adams+County+Idaho,45,52,37,51,19,47,41
Bannock+County+Idaho,Bannock+County+Idaho,49,65,41,48,43,64,52
Bear+Lake+County+Idaho,Bear+Lake+County+Idaho,51,50,23,54,25,59,46
Benewah+County+Idaho,Benewah+County+Idaho,36,50,37,52,40,67,59
Bingham+County+Idaho,Bingham+County+Idaho,22,35,37,51,38,70,42
Blaine+County+Idaho,Blaine+County+Idaho,85,55,80,50,34,63,56
Boise+County+Idaho,Boise+County+Idaho,72,49,45,40,29,75,33
Bonner+County+Idaho,Bonner+County+Idaho,54,66,52,45,33,50,46
Bonneville+County+Idaho,Bonneville+County+Idaho,46,57,55,46,46,68,53
Boundary+County+Idaho,Boundary+County+Idaho,61,39,29,49,32,53,44
Butte+County+Idaho,Butte+County+Idaho,30,74,35,52,27,77,61
Camas+County+Idaho,Camas+County+Idaho,49,32,46,43,20,83,37
Canyon+County+Idaho,Canyon+County+Idaho,45,61,49,48,44,64,45
Caribou+County+Idaho,Caribou+County+Idaho,59,68,31,56,31,95,47
Cassia+County+Idaho,Cassia+County+Idaho,48,71,42,52,37,79,45
Clark+County+Idaho,Clark+County+Idaho,13,62,37,38,19,82,58
Clearwater+County+Idaho,Clearwater+County+Idaho,56,51,22,48,31,71,43
Custer+County+Idaho,Custer+County+Idaho,70,75,42,56,28,57,42
Elmore+County+Idaho,Elmore+County+Idaho,40,23,42,50,39,51,48
Franklin+County+Idaho,Franklin+County+Idaho,42,51,33,45,39,68,38
Fremont+County+Idaho,Fremont+County+Idaho,36,33,43,45,37,68,39
Gem+County+Idaho,Gem+County+Idaho,48,62,38,45,44,68,49
Gooding+County+Idaho,Gooding+County+Idaho,28,47,37,51,40,63,45
Idaho+County+Idaho,Idaho+County+Idaho,43,52,40,52,29,53,44
Jefferson+County+Idaho,Jefferson+County+Idaho,35,61,41,42,40,79,43
Jerome+County+Idaho,Jerome+County+Idaho,41,62,40,53,42,68,37
Kootenai+County+Idaho,Kootenai+County+Idaho,53,66,59,47,43,62,49
Latah+County+Idaho,Latah+County+Idaho,60,65,46,55,43,42,55
Lemhi+County+Idaho,Lemhi+County+Idaho,79,25,43,55,28,53,55
Lewis+County+Idaho,Lewis+County+Idaho,36,62,28,38,36,67,40
Lincoln+County+Idaho,Lincoln+County+Idaho,49,61,36,47,36,87,43
Madison+County+Idaho,Madison+County+Idaho,27,59,62,51,50,34,52
Minidoka+County+Idaho,Minidoka+County+Idaho,46,61,29,53,39,48,40
Nez+Perce+County+Idaho,Nez+Perce+County+Idaho,62,61,25,56,41,83,48
Oneida+County+Idaho,Oneida+County+Idaho,58,62,19,41,40,74,46
Owyhee+County+Idaho,Owyhee+County+Idaho,17,59,37,54,34,70,44
Payette+County+Idaho,Payette+County+Idaho,47,31,35,52,42,71,44
Power+County+Idaho,Power+County+Idaho,22,45,35,59,40,91,42
Shoshone+County+Idaho,Shoshone+County+Idaho,72,27,18,57,40,69,42
Teton+County+Idaho,Teton+County+Idaho,43,51,52,44,35,56,51
Twin+Falls+County+Idaho,Twin+Falls+County+Idaho,50,57,46,53,45,68,52
Valley+County+Idaho,Valley+County+Idaho,69,52,53,47,22,68,46
Washington+County+Idaho,Washington+County+Idaho,36,62,20,56,44,49,54
Adams+County+Illinois,Adams+County+Illinois,66,74,32,59,44,65,58
Alexander+County+Illinois,Alexander+County+Illinois,59,61,31,83,31,55,33
Bond+County+Illinois,Bond+County+Illinois,55,62,42,53,41,57,44
Boone+County+Illinois,Boone+County+Illinois,42,59,41,50,45,50,55
Brown+County+Illinois,Brown+County+Illinois,35,60,35,65,40,67,55
Bureau+County+Illinois,Bureau+County+Illinois,69,48,36,53,42,48,45
Calhoun+County+Illinois,Calhoun+County+Illinois,66,40,36,57,33,62,49
Carroll+County+Illinois,Carroll+County+Illinois,60,61,37,56,37,38,41
Cass+County+Illinois,Cass+County+Illinois,52,61,38,57,46,68,53
Champaign+County+Illinois,Champaign+County+Illinois,52,60,52,51,53,42,69
Christian+County+Illinois,Christian+County+Illinois,43,59,28,61,44,48,47
Clark+County+Illinois,Clark+County+Illinois,51,78,31,54,43,45,40
Clay+County+Illinois,Clay+County+Illinois,48,60,28,62,38,52,43
Clinton+County+Illinois,Clinton+County+Illinois,47,61,47,45,45,64,45
Coles+County+Illinois,Coles+County+Illinois,50,40,38,61,43,43,52
Cook+County+Illinois,Cook+County+Illinois,33,36,56,60,68,45,66
Crawford+County+Illinois,Crawford+County+Illinois,56,57,33,48,46,56,46
Cumberland+County+Illinois,Cumberland+County+Illinois,45,60,26,54,36,45,30
DeKalb+County+Illinois,DeKalb+County+Illinois,52,46,42,60,54,50,50
De+Witt+County+Illinois,De+Witt+County+Illinois,61,45,24,58,53,62,51
Douglas+County+Illinois,Douglas+County+Illinois,56,59,39,51,47,62,42
DuPage+County+Illinois,DuPage+County+Illinois,42,51,74,39,69,61,58
Edgar+County+Illinois,Edgar+County+Illinois,57,59,28,56,44,43,43
Edwards+County+Illinois,Edwards+County+Illinois,53,60,34,62,45,66,40
Effingham+County+Illinois,Effingham+County+Illinois,65,76,38,59,40,78,36
Fayette+County+Illinois,Fayette+County+Illinois,58,42,7,55,35,49,43
Ford+County+Illinois,Ford+County+Illinois,62,60,41,57,46,44,46
Franklin+County+Illinois,Franklin+County+Illinois,44,56,27,62,41,41,42
Fulton+County+Illinois,Fulton+County+Illinois,50,42,28,57,44,45,51
Gallatin+County+Illinois,Gallatin+County+Illinois,49,61,6,61,30,26,32
Greene+County+Illinois,Greene+County+Illinois,43,61,27,61,43,41,44
Grundy+County+Illinois,Grundy+County+Illinois,43,46,49,44,46,68,35
Hamilton+County+Illinois,Hamilton+County+Illinois,58,67,10,55,35,48,52
Hancock+County+Illinois,Hancock+County+Illinois,47,61,22,54,43,41,42
Hardin+County+Illinois,Hardin+County+Illinois,50,58,6,72,35,14,38
Henderson+County+Illinois,Henderson+County+Illinois,49,45,35,47,28,32,41
Henry+County+Illinois,Henry+County+Illinois,65,50,43,56,47,65,48
Iroquois+County+Illinois,Iroquois+County+Illinois,57,52,33,48,40,42,41
Jackson+County+Illinois,Jackson+County+Illinois,57,80,44,66,39,42,66
Jasper+County+Illinois,Jasper+County+Illinois,58,58,29,48,37,48,48
Jefferson+County+Illinois,Jefferson+County+Illinois,60,56,27,57,34,65,42
Jersey+County+Illinois,Jersey+County+Illinois,39,66,34,52,38,72,35
Jo+Daviess+County+Illinois,Jo+Daviess+County+Illinois,60,75,35,56,39,42,43
Johnson+County+Illinois,Johnson+County+Illinois,41,61,28,61,34,29,37
Kane+County+Illinois,Kane+County+Illinois,34,67,56,44,60,61,49
Kankakee+County+Illinois,Kankakee+County+Illinois,48,60,38,49,47,57,47
Kendall+County+Illinois,Kendall+County+Illinois,34,52,52,37,48,79,41
Knox+County+Illinois,Knox+County+Illinois,45,61,34,61,43,51,53
Lake+County+Illinois,Lake+County+Illinois,40,61,58,40,60,54,50
LaSalle+County+Illinois,LaSalle+County+Illinois,,,,,,,
Lawrence+County+Illinois,Lawrence+County+Illinois,37,60,7,61,43,56,52
Lee+County+Illinois,Lee+County+Illinois,47,50,36,57,44,50,45
Livingston+County+Illinois,Livingston+County+Illinois,56,61,41,50,45,58,47
Logan+County+Illinois,Logan+County+Illinois,57,56,45,57,42,42,45
McDonough+County+Illinois,McDonough+County+Illinois,59,61,42,66,45,34,58
McHenry+County+Illinois,McHenry+County+Illinois,38,53,54,34,55,74,44
McLean+County+Illinois,McLean+County+Illinois,38,60,56,55,47,57,65
Macon+County+Illinois,Macon+County+Illinois,54,57,38,62,43,47,66
Macoupin+County+Illinois,Macoupin+County+Illinois,44,60,34,51,43,68,48
Madison+County+Illinois,Madison+County+Illinois,53,41,44,49,48,61,40
Marion+County+Illinois,Marion+County+Illinois,60,59,28,57,38,48,49
Marshall+County+Illinois,Marshall+County+Illinois,66,50,38,51,42,74,43
Mason+County+Illinois,Mason+County+Illinois,58,58,37,53,40,36,51
Massac+County+Illinois,Massac+County+Illinois,51,59,28,61,38,78,38
